ds,y
2021-12-02,6447.86669921875
2021-12-03,6340.40185546875
2021-12-06,6318.90966796875
2021-12-07,6318.90966796875
2021-12-08,6383.38818359375
2021-12-09,6318.90966796875
2021-12-10,6340.40185546875
2021-12-13,6275.923828125
2021-12-14,6275.923828125
2021-12-15,6275.923828125
2021-12-16,6254.4306640625
2021-12-17,6447.86669921875
2021-12-20,6340.40185546875
2021-12-21,6340.40185546875
2021-12-22,6297.4169921875
2021-12-23,6275.923828125
2021-12-24,6275.923828125
2021-12-27,6318.90966796875
2021-12-28,6318.90966796875
2021-12-29,6275.923828125
2021-12-30,6275.923828125
2022-01-03,6297.4169921875
2022-01-04,6361.8955078125
2022-01-05,6404.88037109375
2022-01-06,6426.37353515625
2022-01-07,6576.82373046875
2022-01-10,6533.83837890625
2022-01-11,6619.8095703125
2022-01-12,6619.8095703125
2022-01-13,6619.8095703125
2022-01-14,6748.767578125
2022-01-17,6662.79541015625
2022-01-18,6598.3173828125
2022-01-19,6598.3173828125
2022-01-20,6684.28759765625
2022-01-21,6834.73876953125
2022-01-24,6705.78125
2022-01-25,6684.28759765625
2022-01-26,6619.8095703125
2022-01-27,6705.78125
2022-01-28,6684.28759765625
2022-01-31,6555.33154296875
2022-02-02,6705.78125
2022-02-03,6641.30322265625
2022-02-04,6641.30322265625
2022-02-07,6705.78125
2022-02-08,6641.30322265625
2022-02-09,6834.73876953125
2022-02-10,6662.79541015625
2022-02-11,6727.2744140625
2022-02-14,6619.8095703125
2022-02-15,6770.26025390625
2022-02-16,6856.2314453125
2022-02-17,6791.75341796875
2022-02-18,6813.24609375
2022-02-21,6834.73876953125
2022-02-22,6791.75341796875
2022-02-23,6920.7099609375
2022-02-24,6877.7236328125
2022-02-25,6920.7099609375
2022-03-01,6920.7099609375
2022-03-02,6856.2314453125
2022-03-04,6791.75341796875
2022-03-07,6619.8095703125
2022-03-08,6576.82373046875
2022-03-09,6748.767578125
2022-03-10,6813.24609375
2022-03-11,6834.73876953125
2022-03-14,6942.20361328125
2022-03-15,7006.681640625
2022-03-16,7049.66748046875
2022-03-17,6877.7236328125
2022-03-18,6791.75341796875
2022-03-21,6791.75341796875
2022-03-22,6813.24609375
2022-03-23,6791.75341796875
2022-03-24,6813.24609375
2022-03-25,6834.73876953125
2022-03-28,6895.84130859375
2022-03-29,6852.19677734375
2022-03-30,6874.0185546875
2022-03-31,6961.30810546875
2022-04-01,6917.6630859375
2022-04-04,6895.84130859375
2022-04-05,6895.84130859375
2022-04-06,6764.9072265625
2022-04-07,6764.9072265625
2022-04-08,6852.19677734375
2022-04-11,6743.0849609375
2022-04-12,6808.5517578125
2022-04-13,6808.5517578125
2022-04-14,6721.2626953125
2022-04-18,6721.2626953125
2022-04-19,6655.7958984375
2022-04-20,6677.61865234375
2022-04-21,6917.6630859375
2022-04-22,6874.0185546875
2022-04-25,6983.1298828125
2022-04-26,7092.2421875
2022-04-27,7157.70849609375
2022-04-28,7092.2421875
2022-05-09,6633.9736328125
2022-05-10,6568.50634765625
2022-05-11,6677.61865234375
2022-05-12,6350.28369140625
2022-05-13,6393.9287109375
2022-05-17,6459.3955078125
2022-05-18,6612.1513671875
2022-05-19,6503.03955078125
2022-05-20,6459.3955078125
2022-05-23,6437.57275390625
2022-05-24,6415.75048828125
2022-05-25,6437.57275390625
2022-05-27,6612.1513671875
